,src,rtime,dst,size,sid,mid
1464,1,223459,3,584916,4,35
1465,1,223995,3,587798,4,0
1466,1,224000,3,585164,4,5
1467,1,224005,3,586650,4,6
1468,1,224010,3,583810,4,7
1469,1,224015,3,583924,4,17
1470,1,224020,3,584631,4,18
1471,1,224024,3,587545,4,19
1472,1,224029,3,587963,4,24
1473,1,224034,3,587272,4,26
1474,1,224039,3,588991,4,33
1475,1,224043,3,584339,4,35
1476,1,234666,3,587980,5,0
1477,1,234678,3,589627,5,5
1478,1,234685,3,585453,5,6
1479,1,234694,3,587825,5,7
1480,1,234878,3,588667,5,14
1481,1,234896,3,585972,5,18
1482,1,234902,2,584481,5,0
1483,1,234908,3,584597,5,26
1484,1,234909,2,582098,5,5
1485,1,234922,2,586533,5,6
1486,1,234925,3,584120,5,28
1487,1,234932,2,585919,5,7
1488,1,234938,3,587719,5,29
1489,1,234946,3,586711,5,30
1490,1,234951,3,586089,5,33
1491,1,234956,3,586645,5,35
1492,1,234961,3,587367,5,0
1493,1,234966,3,585744,5,5
1494,1,234970,3,588205,5,6
1495,1,234979,3,585197,5,7
1496,1,234985,3,585407,5,14
1497,1,234990,3,584241,5,18
1498,1,234995,3,584972,5,26
1499,1,235000,3,585295,5,28
1500,1,235005,3,586754,5,29
1501,1,235010,3,586100,5,30
1502,1,235015,3,586049,5,33
1503,1,235020,3,585906,5,35
1504,1,235027,3,588603,5,0
1505,1,235032,3,588754,5,5
1506,1,235039,3,588769,5,6
1507,1,235047,3,586298,5,7
1508,1,235050,3,584223,5,14
1509,1,235058,3,588630,5,18
1510,1,235063,3,586021,5,26
1511,1,235068,3,585693,5,28
1512,1,235073,3,584183,5,29
1513,1,235078,3,585815,5,30
1514,1,235083,3,587684,5,33
1515,1,235087,3,585455,5,35
1516,1,235092,3,587421,5,0
1517,1,235097,3,583895,5,5
1518,1,235107,3,586307,5,6
1519,1,235112,3,591024,5,7
1520,1,235117,3,582203,5,14
